41973,76003,0047300411,"APR 28, 1974",MIL vs. BOS,L,46,14,28,0.5,,,,7,9,0.778,2,12,14,5,1,3,,1,35,,0
41973,76003,0047300324,"APR 22, 1974",MIL @ CHI,W,0,18,,,,,,2,3,0.667,,,,,,,,,38,,0
41973,76003,0047300323,"APR 20, 1974",MIL vs. CHI,W,0,16,,,,,,0,1,0.0,,,,,,,,,32,,0
41973,76003,0047300322,"APR 18, 1974",MIL @ CHI,W,0,20,,,,,,4,4,1.0,,,,,,,,,44,,0
41973,76003,0047300321,"APR 16, 1974",MIL vs. CHI,W,0,11,,,,,,3,4,0.75,,,,,,,,,25,,0
41973,76003,0047300235,"APR 07, 1974",MIL vs. LAL,W,0,9,,,,,,3,4,0.75,,,,,,,,,21,,0
41973,76003,0047300234,"APR 04, 1974",MIL @ LAL,W,0,12,,,,,,7,8,0.875,,,,,,,,,31,,0
41973,76003,0047300233,"APR 02, 1974",MIL @ LAL,L,0,12,,,,,,5,7,0.714,,,,,,,,,29,,0
41973,76003,0047300232,"MAR 31, 1974",MIL vs. LAL,W,0,13,,,,,,6,7,0.857,,,,,,,,,32,,0
41973,76003,0047300231,"MAR 29, 1974",MIL vs. LAL,W,0,16,,,,,,3,4,0.75,,,,,,,,,35,,0
41976,76003,0047600324,"MAY 13, 1977",LAL @ POR,L,0,12,,,,,,6,9,0.667,,,,,,,,,30,,0
41976,76003,0047600323,"MAY 10, 1977",LAL @ POR,L,0,5,,,,,,11,13,0.846,,,,,,,,,21,,0
41976,76003,0047600312,"MAY 08, 1977",LAL vs. POR,L,0,17,,,,,,6,9,0.667,,,,,,,,,40,,0
41976,76003,0047600321,"MAY 06, 1977",LAL vs. POR,L,0,11,,,,,,8,9,0.889,,,,,,,,,30,,0
41976,76003,0047600227,"MAY 04, 1977",LAL vs. GOS,W,0,14,,,,,,8,10,0.8,,,,,,,,,36,,0
41976,76003,0047600226,"MAY 01, 1977",LAL @ GOS,L,0,17,,,,,,9,11,0.818,,,,,,,,,43,,0
41976,76003,0047600225,"APR 29, 1977",LAL vs. GOS,W,0,16,,,,,,13,18,0.722,,,,,,,,,45,,0
41976,76003,0047600224,"APR 26, 1977",LAL @ GOS,L,0,15,,,,,,11,16,0.688,,,,,,,,,41,,0
41976,76003,0047600223,"APR 24, 1977",LAL @ GOS,L,0,12,,,,,,4,7,0.571,,,,,,,,,28,,0
41976,76003,0047600222,"APR 22, 1977",LAL vs. GOS,W,0,18,,,,,,4,6,0.667,,,,,,,,,40,,0
41976,76003,0047600221,"APR 20, 1977",LAL vs. GOS,W,0,10,,,,,,7,12,0.583,,,,,,,,,27,,0
41977,76003,0047700010,"APR 16, 1978",LAL @ SEA,L,0,15,,,,,,1,4,0.25,,,,,,,,,31,,0
41977,76003,0047700005,"APR 14, 1978",LAL vs. SEA,W,0,11,,,,,,2,2,1.0,,,,,,,,6,24,,0
41977,76003,0047700003,"APR 12, 1978",LAL @ SEA,L,0,12,,,,,,2,3,0.667,,,,,,,,,26,,0
41978,76003,0047800027,"APR 25, 1979",LAL @ SEA,L,0,11,,,,,,3,5,0.6,,,,,,,,,25,,0
41978,76003,0047800024,"APR 22, 1979",LAL vs. SEA,L,0,13,,,,,,5,6,0.833,,,,,,,,,31,,0
41978,76003,0047800020,"APR 20, 1979",LAL vs. SEA,W,0,11,,,,,,10,12,0.833,,,,,,,,,32,,0
41978,76003,0047800017,"APR 18, 1979",LAL @ SEA,L,0,13,,,,,,5,5,1.0,,,,,,,,,31,,0
41978,76003,0047800016,"APR 17, 1979",LAL @ SEA,L,0,8,,,,,,9,10,0.9,,,,,,,,,25,,0
41978,76003,0047800011,"APR 15, 1979",LAL @ DEN,W,0,13,,,,,,3,5,0.6,,,,,,,,,29,,0
41978,76003,0047800007,"APR 13, 1979",LAL vs. DEN,W,0,12,,,,,,8,8,1.0,,,,,,,,0,32,,0
41978,76003,0047800001,"APR 10, 1979",LAL @ DEN,L,0,7,,,,,,9,11,0.818,,,,,,,,,23,,0
41979,76003,0047900047,"MAY 14, 1980",LAL vs. PHL,W,41,16,24,0.667,0,0,,8,9,0.889,4,11,15,1,0,4,5,4,40,,0
41979,76003,0047900046,"MAY 11, 1980",LAL @ PHL,L,39,11,27,0.407,0,0,,1,1,1.0,2,9,11,4,1,4,6,4,23,,0
41979,76003,0047900045,"MAY 10, 1980",LAL @ PHL,W,41,13,30,0.433,0,0,,7,9,0.778,5,9,14,3,0,4,3,4,33,,0
41979,76003,0047900044,"MAY 07, 1980",LAL vs. PHL,L,41,19,31,0.613,0,0,,0,2,0.0,4,10,14,3,2,5,4,4,38,,0
41979,76003,0047900043,"MAY 04, 1980",LAL vs. PHL,W,41,14,21,0.667,0,0,,5,5,1.0,1,13,14,5,0,6,3,4,33,,0
41979,76003,0047900042,"APR 30, 1980",LAL vs. SEA,W,0,15,,,0,,,8,11,0.727,,,,,,,,,38,,0
